idNodo,latitud,longitud,nombre,poligono
1388396134379,37.5395,-6.05394,"Sipesca 3 bluetooth Guillena","<Polygon><outerBoundaryIs><LinearRing><coordinates>-6.0539399999999866,37.539949157642056,0.0 -6.053793390942552,37.53993385287591,0.0 -6.053656773220535,37.53988898159011,0.0 -6.053539457230718,37.53981760173809,0.0 -6.053449437909562,37.53972457780639,0.0 -6.053392849879408,37.53961624928979,0.0 -6.053373549396201,37.53949999864716,0.0 -6.053392851585534,37.53938374818576,0.0 -6.053449440864653,37.539275420164344,0.0 -6.053539460642945,37.539182396909055,0.0 -6.053656776175627,37.53911101773347,0.0 -6.053793392648677,37.53906614694283,0.0 -6.0539399999999866,37.53905084235793,0.0 -6.054086607351321,37.53906614694283,0.0 -6.054223223824371,37.53911101773347,0.0 -6.054340539357055,37.539182396909055,0.0 -6.054430559135346,37.539275420164344,0.0 -6.054487148414465,37.53938374818576,0.0 -6.054506450603799,37.53949999864716,0.0 -6.054487150120591,37.53961624928979,0.0 -6.054430562090438,37.53972457780639,0.0 -6.054340542769281,37.53981760173809,0.0 -6.054223226779463,37.53988898159011,0.0 -6.054086609057448,37.53993385287591,0.0 -6.0539399999999866,37.539949157642056,0.0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1388396196672,37.5123,-6.02722,"Sipesca 4 bluetooth Torre de la Reina","<Polygon><outerBoundaryIs><LinearRing><coordinates>-6.027220000000006,37.51274915764205,0.0 -6.027073444389349,37.512733852875996,0.0 -6.026936876471589,37.51268898159043,0.0 -6.026819603249214,37.51261760173876,0.0 -6.026729616744156,37.512524577807376,0.0 -6.026673049342419,37.51241624929103,0.0 -6.026653755894293,37.51229999864849,0.0 -6.02667305104623,37.512183748187006,0.0 -6.026729619695253,37.51207542016534,0.0 -6.026819606656861,37.511982396909715,0.0 -6.026936879422686,37.511911017733794,0.0 -6.02707344609316,37.51186614694292,0.0 -6.027220000000006,37.51185084235793,0.0 -6.027366553906828,37.51186614694292,0.0 -6.027503120577302,37.511911017733794,0.0 -6.027620393343152,37.511982396909715,0.0 -6.027710380304734,37.51207542016534,0.0 -6.027766948953758,37.512183748187006,0.0 -6.027786244105695,37.51229999864849,0.0 -6.027766950657593,37.51241624929103,0.0 -6.027710383255832,37.512524577807376,0.0 -6.027620396750772,37.51261760173876,0.0 -6.027503123528424,37.51268898159043,0.0 -6.027366555610638,37.512733852875996,0.0 -6.027220000000006,37.51274915764205,0.0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1388396290670,37.5192,-5.98457,"Sipesca 5 bluetooth Alcalá del Río","<Polygon><outerBoundaryIs><LinearRing><coordinates>-5.984569999999988,37.51964915764205,0.0 -5.984423430837981,37.51963385287599,0.0 -5.984286850292399,37.51958898159036,0.0 -5.984169566226395,37.51951760173859,0.0 -5.984079571400853,37.51942457780715,0.0 -5.984022998768783,37.519316249290725,0.0 -5.984003703536926,37.519199998648155,0.0 -5.9840230004731785,37.519083748186695,0.0 -5.984079574352942,37.51897542016509,0.0 -5.9841695696351875,37.51888239690956,0.0 -5.984286853244515,37.51881101773372,0.0 -5.984423432542376,37.5187661469429,0.0 -5.984569999999988,37.518750842357946,0.0 -5.984716567457626,37.5187661469429,0.0 -5.984853146755488,37.51881101773372,0.0 -5.9849704303648155,37.51888239690956,0.0 -5.9850604256470605,37.51897542016509,0.0 -5.985116999526824,37.519083748186695,0.0 -5.985136296463078,37.519199998648155,0.0 -5.9851170012312185,37.519316249290725,0.0 -5.985060428599149,37.51942457780715,0.0 -5.984970433773607,37.51951760173859,0.0 -5.984853149707603,37.51958898159036,0.0 -5.984716569162021,37.51963385287599,0.0 -5.984569999999988,37.51964915764205,0.0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1388396397305,37.4281,-5.93013,"Sipesca 6 bluetooth Valdezorras","<Polygon><outerBoundaryIs><LinearRing><coordinates>-5.930129999999992,37.42854915764206,0.0 -5.929983609382901,37.42853385287627,0.0 -5.929847195213941,37.42848898159147,0.0 -5.9297300540173845,37.42841760174082,0.0 -5.929640168817623,37.42832457781047,0.0 -5.929583665097053,37.42821624929487,0.0 -5.929564393366747,37.4280999986526,0.0 -5.929583666793765,37.42798374819084,0.0 -5.929640171756455,37.42787542016842,0.0 -5.9297300574108585,37.42778239691177,0.0 -5.929847198152773,37.42771101773483,0.0 -5.929983611079638,37.427666146943196,0.0 -5.930129999999992,37.427650842357934,0.0 -5.930276388920374,37.427666146943196,0.0 -5.930412801847237,37.42771101773483,0.0 -5.9305299425891524,37.42778239691177,0.0 -5.930619828243555,37.42787542016842,0.0 -5.93067633320622,37.42798374819084,0.0 -5.930695606633263,37.4280999986526,0.0 -5.930676334902957,37.42821624929487,0.0 -5.930619831182362,37.42832457781047,0.0 -5.930529945982601,37.42841760174082,0.0 -5.9304128047860445,37.42848898159147,0.0 -5.930276390617085,37.42853385287627,0.0 -5.930129999999992,37.42854915764206,0.0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1388396456974,37.4645,-6.01573,"Sipesca 7 bluetooth La Algaba dir. Santiponce","<Polygon><outerBoundaryIs><LinearRing><coordinates>-6.015729999999993,37.46494915764206,0.0 -6.0155835381399525,37.464933852876165,0.0 -6.015447057583428,37.46488898159103,0.0 -6.015329859379142,37.464817601739924,0.0 -6.0152399304365,37.46472457780915,0.0 -6.015183399218891,37.46461624929322,0.0 -6.015164118110986,37.46449999865083,0.0 -6.015183400918682,37.464383748189185,0.0 -6.0152399333806255,37.4642754201671,0.0 -6.015329862778723,37.46418239691091,0.0 -6.015447060527553,37.46411101773439,0.0 -6.015583539839742,37.46406614694308,0.0 -6.015729999999993,37.46405084235794,0.0 -6.01587646016027,37.46406614694308,0.0 -6.01601293947246,37.46411101773439,0.0 -6.016130137221289,37.46418239691091,0.0 -6.016220066619361,37.4642754201671,0.0 -6.01627659908133,37.464383748189185,0.0 -6.0162958818889996,37.46449999865083,0.0 -6.01627660078112,37.46461624929322,0.0 -6.016220069563486,37.46472457780915,0.0 -6.016130140620869,37.464817601739924,0.0 -6.016012942416585,37.46488898159103,0.0 -6.015876461860061,37.464933852876165,0.0 -6.015729999999993,37.46494915764206,0.0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1388396568021,37.4672,-6.00765,"Sipesca 8 bluetooth La Algaba","<Polygon><outerBoundaryIs><LinearRing><coordinates>-6.0076500000000035,37.46764915764205,0.0 -6.007503532850317,37.46763385287615,0.0 -6.007367047364672,37.467588981590985,0.0 -6.0072498449277045,37.46751760173985,0.0 -6.007159912737284,37.467424577809034,0.0 -6.007103379478064,37.467316249293084,0.0 -6.007084097673897,37.46719999865068,0.0 -6.007103381178083,37.46708374818905,0.0 -6.00715991568179,37.46697542016698,0.0 -6.007249848327717,37.46688239691082,0.0 -6.007367050309204,37.46681101773434,0.0 -6.007503534550336,37.46676614694306,0.0 -6.0076500000000035,37.46675084235792,0.0 -6.00779646544967,37.46676614694306,0.0 -6.007932949690803,37.46681101773434,0.0 -6.008050151672263,37.46688239691082,0.0 -6.0081400843182164,37.46697542016698,0.0 -6.008196618821923,37.46708374818905,0.0 -6.008215902326109,37.46719999865068,0.0 -6.008196620521942,37.467316249293084,0.0 -6.008140087262723,37.467424577809034,0.0 -6.008050155072302,37.46751760173985,0.0 -6.00793295263531,37.467588981590985,0.0 -6.0077964671496895,37.46763385287615,0.0 -6.0076500000000035,37.46764915764205,0.0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1388396634884,37.5846,-5.96864,"Sipesca 9 bluetooth Burguillos","<Polygon><outerBoundaryIs><LinearRing><coordinates>-5.9686400000000015,37.58504915764206,0.0 -5.968493302164202,37.58503385287577,0.0 -5.96835660171433,37.58498898158957,0.0 -5.96823921468517,37.584917601737,0.0 -5.968149140854522,37.584824577804746,0.0 -5.968092518559338,37.584716249287744,0.0 -5.9680732063903905,37.584599998644954,0.0 -5.968092520269255,37.584483748183715,0.0 -5.968149143816204,37.584375420162694,0.0 -5.968239218105029,37.58428239690796,0.0 -5.9683566046760115,37.584211017732905,0.0 -5.968493303874144,37.584166146942685,0.0 -5.9686400000000015,37.584150842357936,0.0 -5.968786696125859,37.584166146942685,0.0 -5.968923395323966,37.584211017732905,0.0 -5.969040781894974,37.58428239690796,0.0 -5.969130856183799,37.584375420162694,0.0 -5.969187479730748,37.584483748183715,0.0 -5.9692067936096125,37.584599998644954,0.0 -5.969187481440666,37.584716249287744,0.0 -5.969130859145482,37.584824577804746,0.0 -5.969040785314833,37.584917601737,0.0 -5.968923398285674,37.58498898158957,0.0 -5.968786697835777,37.58503385287577,0.0 -5.9686400000000015,37.58504915764206,0.0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1388397145518,37.4511,-5.95452,"Sipesca 10 bluetooth A-8005","<Polygon><outerBoundaryIs><LinearRing><coordinates>-5.954519999999996,37.45154915764205,0.0 -5.954373564381694,37.451533852876196,0.0 -5.95423710827847,37.45148898159119,0.0 -5.954119931072487,37.45141760174025,0.0 -5.954030018242179,37.45132457780962,0.0 -5.953973497152854,37.45121624929382,0.0 -5.953954219499108,37.45109999865147,0.0 -5.953973498851525,37.45098374818979,0.0 -5.9540300211843435,37.45087542016758,0.0 -5.954119934469802,37.450782396911215,0.0 -5.9542371112206345,37.450711017734534,0.0 -5.954373566080339,37.450666146943114,0.0 -5.954519999999996,37.45065084235793,0.0 -5.954666433919654,37.450666146943114,0.0 -5.954802888779358,37.450711017734534,0.0 -5.954920065530191,37.450782396911215,0.0 -5.9550099788156485,37.45087542016758,0.0 -5.955066501148467,37.45098374818979,0.0 -5.955085780500884,37.45109999865147,0.0 -5.955066502847138,37.45121624929382,0.0 -5.955009981757814,37.45132457780962,0.0 -5.954920068927506,37.45141760174025,0.0 -5.954802891721549,37.45148898159119,0.0 -5.954666435618324,37.451533852876196,0.0 -5.954519999999996,37.45154915764205,0.0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1388397221712,37.5014,-5.71411,"Sipesca 11 bluetooth Carmona","<Polygon><outerBoundaryIs><LinearRing><coordinates>-5.714109999999994,37.501849157642056,0.0 -5.713963465787167,37.50183385287604,0.0 -5.713826917808888,37.50178898159057,0.0 -5.713709661708789,37.501717601739024,0.0 -5.713619688341889,37.50162457780778,0.0 -5.713563129198882,37.501516249291534,0.0 -5.713543838567328,37.50139999864902,0.0 -5.713563130901776,37.5012837481875,0.0 -5.713619691291408,37.50117542016574,0.0 -5.713709665114604,37.501082396909986,0.0 -5.713826920758407,37.50101101773392,0.0 -5.7139634674900615,37.50096614694296,0.0 -5.714109999999994,37.50095084235793,0.0 -5.714256532509925,37.50096614694296,0.0 -5.714393079241604,37.50101101773392,0.0 -5.714510334885408,37.501082396909986,0.0 -5.714600308708578,37.50117542016574,0.0 -5.714656869098209,37.5012837481875,0.0 -5.714676161432658,37.50139999864902,0.0 -5.71465687080113,37.501516249291534,0.0 -5.7146003116580975,37.50162457780778,0.0 -5.7145103382911975,37.501717601739024,0.0 -5.714393082191097,37.50178898159057,0.0 -5.714256534212844,37.50183385287604,0.0 -5.714109999999994,37.501849157642056,0.0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1388397331212,37.4816,-5.97881,"Sipesca 12 bluetooth La Rinconada","<Polygon><outerBoundaryIs><LinearRing><coordinates>-5.978810000000012,37.48204915764207,0.0 -5.978663504627051,37.48203385287611,0.0 -5.978526992841626,37.481988981590824,0.0 -5.978409767820712,37.48191760173952,0.0 -5.978319818301331,37.48182457780852,0.0 -5.9782632741490165,37.48171624929243,0.0 -5.978243988629886,37.48159999864999,0.0 -5.978263275850257,37.4814837481884,0.0 -5.97831982124795,37.481375420166465,0.0 -5.978409771223192,37.48128239691048,0.0 -5.978526995788246,37.48121101773417,0.0 -5.9786635063282665,37.48116614694303,0.0 -5.978810000000012,37.48115084235794,0.0 -5.978956493671732,37.48116614694303,0.0 -5.9790930042117525,37.48121101773417,0.0 -5.979210228776831,37.48128239691048,0.0 -5.979300178752049,37.481375420166465,0.0 -5.979356724149741,37.4814837481884,0.0 -5.979376011370112,37.48159999864999,0.0 -5.979356725850981,37.48171624929243,0.0 -5.979300181698666,37.48182457780852,0.0 -5.979210232179286,37.48191760173952,0.0 -5.979093007158371,37.481988981590824,0.0 -5.978956495372947,37.48203385287611,0.0 -5.978810000000012,37.48204915764207,0.0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1388397445798,37.4778,-5.95357,"Sipesca 13 bluetooth San José","<Polygon><outerBoundaryIs><LinearRing><coordinates>-5.953570000000005,37.47824915764206,0.0 -5.95342351207682,37.47823385287613,0.0 -5.953287007233428,37.478188981590876,0.0 -5.953169788173737,37.478117601739605,0.0 -5.953079843228477,37.478024577808654,0.0 -5.953023301951486,37.47791624929261,0.0 -5.953004017412958,37.477799998650184,0.0 -5.953023303652396,37.47768374818858,0.0 -5.953079846174536,37.477575420166616,0.0 -5.953169791575556,37.47748239691057,0.0 -5.953287010179486,37.47741101773422,0.0 -5.95342351377773,37.47736614694304,0.0 -5.953570000000005,37.47735084235794,0.0 -5.953716486222282,37.47736614694304,0.0 -5.953852989820501,37.47741101773422,0.0 -5.9539702084244555,37.47748239691057,0.0 -5.954060153825475,37.477575420166616,0.0 -5.954116696347616,37.47768374818858,0.0 -5.954135982587053,37.477799998650184,0.0 -5.954116698048526,37.47791624929261,0.0 -5.9540601567715346,37.478024577808654,0.0 -5.953970211826275,37.478117601739605,0.0 -5.953852992766584,37.478188981590876,0.0 -5.953716487923192,37.47823385287613,0.0 -5.953570000000005,37.47824915764206,0.0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
1388397600522,37.5509,-5.86955,"Sipesca 1 wifi Brenes","<Polygon><outerBoundaryIs><LinearRing><coordinates>-5.869549999999993,37.551349157642065,0.0 -5.869403368520639,37.551333852875885,0.0 -5.869266729904822,37.551288981589984,0.0 -5.869149395973241,37.551217601737825,0.0 -5.869059362885143,37.551124577805986,0.0 -5.86900276620098,37.55101624928928,0.0 -5.868983462766421,37.550899998646614,0.0 -5.869002767908074,37.55078374818526,0.0 -5.869059365841888,37.550675420163934,0.0 -5.8691493993874015,37.55058239690879,0.0 -5.8692667328615675,37.550511017733335,0.0 -5.869403370227732,37.5504661469428,0.0 -5.869549999999993,37.550450842357954,0.0 -5.869696629772279,37.5504661469428,0.0 -5.869833267138419,37.550511017733335,0.0 -5.869950600612585,37.55058239690879,0.0 -5.870040634158097,37.550675420163934,0.0 -5.870097232091938,37.55078374818526,0.0 -5.8701165372335895,37.550899998646614,0.0 -5.870097233799005,37.55101624928928,0.0 -5.870040637114843,37.551124577805986,0.0 -5.869950604026745,37.551217601737825,0.0 -5.869833270095189,37.551288981589984,0.0 -5.869696631479346,37.551333852875885,0.0 -5.869549999999993,37.551349157642065,0.0 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
